address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
5801 E Osage Ridge Ln,Columbia,MO,65201,525000,3669.0,5.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5801-E-Osage-Ridge-Ln-Columbia-MO-65201/2092214740_zpid/
3109 Yorktown Dr,Columbia,MO,65203,168000,1808.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3109-Yorktown-Dr-Columbia-MO-65203/58705473_zpid/
1216 Subella Dr,Columbia,MO,65203,177900,2062.0,3.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1216-Subella-Dr-Columbia-MO-65203/58706078_zpid/
3800 Barrington Dr,Columbia,MO,65203,274500,2973.0,5.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3800-Barrington-Dr-Columbia-MO-65203/58712057_zpid/
2612 Stratford Chase Cir,Columbia,MO,65201,315000,1896.0,3.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2612-Stratford-Chase-Cir-Columbia-MO-65201/103680439_zpid/
2905 Farleigh Ct,Columbia,MO,65203,465000,3476.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2905-Farleigh-Ct-Columbia-MO-65203/2092239069_zpid/
2159 S El Chaparral Ave,Columbia,MO,65201,129900,1668.0,3.0,3.0,NA,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/2159-S-El-Chaparral-Ave-Columbia-MO-65201/58718864_zpid/
4501 Salem Dr,Columbia,MO,65203,127900,1240.0,3.0,1.0,NA,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/4501-Salem-Dr-Columbia-MO-65203/58702987_zpid/
812 Colgate,COLUMBIA,MO,65203,29900,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/812-Colgate-Columbia-MO-65203/103675082_zpid/
1908 Granite Oak Ct,Columbia,MO,65203,207000,1725.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1908-Granite-Oak-Ct-Columbia-MO-65203/60057260_zpid/
4403 Rice Rd,Columbia,MO,65202,150000,1958.0,4.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4403-Rice-Rd-Columbia-MO-65202/58715021_zpid/
1712 Olympic Blvd,Columbia,MO,65202,135000,1266.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1712-Olympic-Blvd-Columbia-MO-65202/58715644_zpid/
6720 W Gillespie Bridge Rd,Columbia,MO,65203,150000,1150.0,3.0,1.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/6720-W-Gillespie-Bridge-Rd-Columbia-MO-65203/58701910_zpid/
2477 E Buffalo Dr,Columbia,MO,65202,159900,1580.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2477-E-Buffalo-Dr-Columbia-MO-65202/58692865_zpid/
44 S Scott Blvd,Columbia,MO,65203,525000,3800.0,6.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/44-S-Scott-Blvd-Columbia-MO-65203/2092128087_zpid/
4904 Cochero Ct,Columbia,MO,65203,289900,2519.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4904-Cochero-Ct-Columbia-MO-65203/67317391_zpid/
3107 Kunlun Dr,Columbia,MO,65203,293000,3450.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3107-Kunlun-Dr-Columbia-MO-65203/58703200_zpid/
3800 Saddlebrook Pl APT 104,Columbia,MO,65202,103000,1212.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3800-Saddlebrook-Pl-APT-104-Columbia-MO-65202/60057179_zpid/
5211 Thornbrook Pkwy,Columbia,MO,65203,280000,2000.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5211-Thornbrook-Pkwy-Columbia-MO-65203/102755243_zpid/
